doc_id,doi,title,lib,class_name,chunk_count
doc_0195,10.1021/acscatal.0c04878,10.1021/acscatal.0c04878,lib1,classA,79
doc_0196,10.1021/acscatal.0c05671,10.1021/acscatal.0c05671,lib1,classA,92
doc_0197,10.1021/acscatal.1c00338,10.1021/acscatal.1c00338,lib1,classA,76
doc_0198,10.1021/acscatal.1c00420,10.1021/acscatal.1c00420,lib1,classA,81
doc_0199,10.1021/acscatal.1c01486,10.1021/acscatal.1c01486,lib1,classA,115
doc_0200,10.1021/acscatal.1c01506,10.1021/acscatal.1c01506,lib1,classA,71
doc_0201,10.1021/acscatal.1c02646,10.1021/acscatal.1c02646,lib1,classA,65
doc_0202,10.1021/acscatal.5b00402,10.1021/acscatal.5b00402,lib1,classA,73
doc_0203,10.1021/acscatal.5b00462,10.1021/acscatal.5b00462,lib1,classA,92
doc_0204,10.1021/acscatal.5b00808,10.1021/acscatal.5b00808,lib1,classA,56
doc_0205,10.1021/acscatal.5b00840,10.1021/acscatal.5b00840,lib1,classA,95
doc_0206,10.1021/acscatal.5b00922,10.1021/acscatal.5b00922,lib1,classA,70
doc_0207,10.1021/acscatal.5b01165,10.1021/acscatal.5b01165,lib1,classA,56
doc_0208,10.1021/acscatal.5b01198,10.1021/acscatal.5b01198,lib1,classA,41
doc_0209,10.1021/acscatal.5b01235,10.1021/acscatal.5b01235,lib1,classA,114
doc_0210,10.1021/acscatal.5b01767,10.1021/acscatal.5b01767,lib1,classA,74
doc_0211,10.1021/acscatal.5b01967,10.1021/acscatal.5b01967,lib1,classA,156
doc_0212,10.1021/acscatal.5b02296,10.1021/acscatal.5b02296,lib1,classA,68
doc_0213,10.1021/acscatal.5b02322,10.1021/acscatal.5b02322,lib1,classA,51
doc_0214,10.1021/acscatal.5b02543,10.1021/acscatal.5b02543,lib1,classA,163
doc_0215,10.1021/acscatal.5b02550,10.1021/acscatal.5b02550,lib1,classA,136
doc_0216,10.1021/acscatal.6b00269,10.1021/acscatal.6b00269,lib1,classA,120
doc_0217,10.1021/acscatal.6b00770,10.1021/acscatal.6b00770,lib1,classA,132
doc_0218,10.1021/acscatal.6b01106,10.1021/acscatal.6b01106,lib1,classA,162
doc_0219,10.1021/acscatal.6b01555,10.1021/acscatal.6b01555,lib1,classA,95
doc_0220,10.1021/acscatal.6b01719,10.1021/acscatal.6b01719,lib1,classA,92
doc_0221,10.1021/acscatal.6b01805,10.1021/acscatal.6b01805,lib1,classA,117
doc_0222,10.1021/acscatal.6b02089,10.1021/acscatal.6b02089,lib1,classA,311
doc_0223,10.1021/acscatal.6b02162,10.1021/acscatal.6b02162,lib1,classA,80
doc_0224,10.1021/acscatal.6b02181,10.1021/acscatal.6b02181,lib1,classA,195
doc_0225,10.1021/acscatal.6b02299,10.1021/acscatal.6b02299,lib1,classA,98
doc_0226,10.1021/acscatal.6b02382,10.1021/acscatal.6b02382,lib1,classA,101
doc_0227,10.1021/acscatal.6b02984,10.1021/acscatal.6b02984,lib1,classA,46
doc_0228,10.1021/acscatal.6b03147,10.1021/acscatal.6b03147,lib1,classA,84
doc_0229,10.1021/acscatal.6b03353,10.1021/acscatal.6b03353,lib1,classA,55
doc_0230,10.1021/acscatal.7b00440,10.1021/acscatal.7b00440,lib1,classA,185
doc_0231,10.1021/acscatal.7b00687,10.1021/acscatal.7b00687,lib1,classA,63
doc_0232,10.1021/acscatal.7b01124,10.1021/acscatal.7b01124,lib1,classA,57
doc_0233,10.1021/acscatal.7b01416,10.1021/acscatal.7b01416,lib1,classA,105
doc_0234,10.1021/acscatal.7b01800,10.1021/acscatal.7b01800,lib1,classA,339
doc_0235,10.1021/acscatal.7b01839,10.1021/acscatal.7b01839,lib1,classA,74
doc_0236,10.1021/acscatal.7b02146,10.1021/acscatal.7b02146,lib1,classA,55
doc_0237,10.1021/acscatal.7b02234,10.1021/acscatal.7b02234,lib1,classA,105
doc_0238,10.1021/acscatal.7b02561,10.1021/acscatal.7b02561,lib1,classA,121
doc_0239,10.1021/acscatal.7b02822,10.1021/acscatal.7b02822,lib1,classA,145
doc_0240,10.1021/acscatal.7b02959,10.1021/acscatal.7b02959,lib1,classA,56
doc_0241,10.1021/acscatal.7b03107,10.1021/acscatal.7b03107,lib1,classA,115
doc_0242,10.1021/acscatal.7b03308,10.1021/acscatal.7b03308,lib1,classA,132
doc_0243,10.1021/acscatal.7b03383,10.1021/acscatal.7b03383,lib1,classA,127
doc_0244,10.1021/acscatal.7b03449,10.1021/acscatal.7b03449,lib1,classA,96
doc_0245,10.1021/acscatal.7b03473,10.1021/acscatal.7b03473,lib1,classA,88
doc_0246,10.1021/acscatal.7b03477,10.1021/acscatal.7b03477,lib1,classA,145
doc_0247,10.1021/acscatal.7b03612,10.1021/acscatal.7b03612,lib1,classA,76
doc_0248,10.1021/acscatal.7b03705,10.1021/acscatal.7b03705,lib1,classA,105
doc_0249,10.1021/acscatal.7b03807,10.1021/acscatal.7b03807,lib1,classA,55
doc_0250,10.1021/acscatal.7b04457,10.1021/acscatal.7b04457,lib1,classA,127
doc_0251,10.1021/acscatal.8b00104,10.1021/acscatal.8b00104,lib1,classA,93
doc_0252,10.1021/acscatal.8b00398,10.1021/acscatal.8b00398,lib1,classA,67
doc_0253,10.1021/acscatal.8b00902,10.1021/acscatal.8b00902,lib1,classA,70
